date,open,high,low,close,volume,hold,settle,contract,expiry,expiry_source
2023-12-29,5779.0,5881.2,5778.0,5873.4,4293,6857,0.0,IM2402,2024-02-19,contract_code_cffex_rule
2024-01-02,5883.0,5883.2,5810.6,5810.6,3163,7159,0.0,IM2402,2024-02-19,contract_code_cffex_rule
2024-01-03,5802.2,5833.0,5743.4,5783.0,3277,7507,0.0,IM2402,2024-02-19,contract_code_cffex_rule
2024-01-04,5776.8,5776.8,5701.6,5743.6,3771,8580,0.0,IM2402,2024-02-19,contract_code_cffex_rule
2024-01-05,5732.6,5754.8,5617.0,5635.8,4921,9592,0.0,IM2402,2024-02-19,contract_code_cffex_rule
2024-01-08,5617.0,5628.0,5423.0,5440.0,6896,11320,0.0,IM2402,2024-02-19,contract_code_cffex_rule
2024-01-09,5463.2,5550.0,5432.0,5468.6,9408,13772,0.0,IM2402,2024-02-19,contract_code_cffex_rule
2024-01-10,5453.2,5528.6,5372.4,5445.0,9245,15329,0.0,IM2402,2024-02-19,contract_code_cffex_rule
2024-01-11,5430.0,5613.8,5430.0,5562.0,12122,18986,0.0,IM2402,2024-02-19,contract_code_cffex_rule
2024-01-12,5535.0,5602.0,5515.0,5517.2,9097,19847,0.0,IM2402,2024-02-19,contract_code_cffex_rule
2024-01-15,5500.0,5561.2,5461.2,5490.2,12520,24703,0.0,IM2402,2024-02-19,contract_code_cffex_rule
2024-01-16,5472.8,5507.8,5383.4,5464.6,21109,33862,0.0,IM2402,2024-02-19,contract_code_cffex_rule
2024-01-17,5445.0,5453.4,5245.0,5258.6,26792,42575,0.0,IM2402,2024-02-19,contract_code_cffex_rule
2024-01-18,5238.2,5307.8,5036.4,5272.8,62389,62760,0.0,IM2402,2024-02-19,contract_code_cffex_rule
2024-01-19,5248.0,5309.6,5205.2,5217.4,61749,69906,0.0,IM2402,2024-02-19,contract_code_cffex_rule
2024-01-22,5204.8,5220.2,4726.0,4830.4,93331,77889,0.0,IM2402,2024-02-19,contract_code_cffex_rule
2024-01-23,4830.2,5058.0,4773.0,4998.0,101009,78867,0.0,IM2402,2024-02-19,contract_code_cffex_rule
2024-01-24,5055.0,5111.0,4833.0,5090.8,112868,82649,0.0,IM2402,2024-02-19,contract_code_cffex_rule
2024-01-25,5055.4,5307.8,5038.0,5306.6,97699,76703,0.0,IM2402,2024-02-19,contract_code_cffex_rule
2024-01-26,5284.0,5316.8,5196.0,5216.8,74122,71513,0.0,IM2402,2024-02-19,contract_code_cffex_rule
2024-01-29,5248.0,5271.4,5058.0,5063.0,82003,75990,0.0,IM2402,2024-02-19,contract_code_cffex_rule
